0	0.235
1	0.26
2	0.31
3	0.31
4	0.335
5	0.345
6	0.405
7	0.32
8	0.31
9	0.33
10	0.335
11	0.28
12	0.31
13	0.425
14	0.335
15	0.35
16	0.285
17	0.41
18	0.44
19	0.365
20	0.405
21	0.475
22	0.425
23	0.415
24	0.415
25	0.435
26	0.445
27	0.375
28	0.45
29	0.735
30	0.71
31	0.425
32	0.5
33	0.39
34	0.37
35	0.51
36	0.68
37	0.65
38	0.74
39	0.665
40	0.46
41	0.74
42	0.6
43	0.685
44	0.745
45	0.59
46	0.54
47	0.405
48	0.485
49	0.98
50	0.71
51	0.56
52	0.57
53	0.66
54	0.605
55	0.41
56	0.75
57	0.755
58	0.56
59	0.53
60	0.405
61	0.55
62	0.38
63	0.64
64	0.45
65	0.67
66	0.585
67	0.745
68	0.54
69	0.73
70	0.755
71	0.755
72	0.79
73	0.78
74	0.89
75	0.46
76	0.74
77	0.73
78	0.885
79	0.74
80	0.91
81	0.665
82	0.87
83	0.745
84	0.6
85	0.66
86	0.55
87	0.75
88	0.675
89	0.81
90	0.915
91	0.78
92	0.755
93	0.465
94	0.78
95	0.5
96	0.78
97	0.635
98	0.845
99	0.55
